Minute,Team1 Gold,Team2 Gold,Winning Team
13,26795,19769,Team1
14,29246,22847,Team1
15,32339,25769,Team1
16,35282,26895,Team1
17,38126,29281,Team1
18,40049,31466,Team1
19,42046,34153,Team1
20,44573,35508,Team1
20,47444,35770,Team1
0,2500,2500,Team1
1,2500,2500,Team1
2,2782,2858,Team1
3,4270,4326,Team1
4,5664,6384,Team1
5,7600,8347,Team1
6,8970,10379,Team1
7,11000,12987,Team1
8,13757,14916,Team1
9,14994,17053,Team1
10,16337,18635,Team1
11,19463,20154,Team1
12,20789,21898,Team1
13,22139,23155,Team1
14,24772,24859,Team1
15,26192,27153,Team1
16,29059,29099,Team1
17,30546,32381,Team1
18,32730,34957,Team1
19,36843,35995,Team1
20,38401,37787,Team1
21,40949,38778,Team1
22,43002,39933,Team1
23,45736,42508,Team1
24,46956,44655,Team1
25,49638,45770,Team1
25,52880,46743,Team1
0,2500,2500,Team1
1,2500,2500,Team1
2,3713,3616,Team1
3,5584,5172,Team1
4,7229,7177,Team1
5,8508,8735,Team1
6,10046,10292,Team1
7,12207,12444,Team1
8,14055,15171,Team1
9,16352,18260,Team1
10,18543,20886,Team1
11,20653,22946,Team1
12,22759,25213,Team1
13,25037,28007,Team1
14,27615,30373,Team1
15,32143,31149,Team1
16,34416,32887,Team1
17,37812,33893,Team1
18,39605,35536,Team1
19,42175,37121,Team1
20,44182,38316,Team1
21,47169,39717,Team1
22,50214,41232,Team1
23,51942,44757,Team1
24,53554,46638,Team1
25,56235,49183,Team1
26,59382,50299,Team1
27,60952,52524,Team1
28,63879,54184,Team1
28,67248,55028,Team1
0,2500,2500,Team1
1,2500,2500,Team1
2,2780,3383,Team1
3,4680,5239,Team1
4,6175,7357,Team1
5,7613,8780,Team1
6,8910,10125,Team1
7,10568,11305,Team1
8,12507,13240,Team1
9,14357,14574,Team1
10,16319,16204,Team1
11,18001,18087,Team1
12,19770,19331,Team1
13,22209,20645,Team1
14,23574,22833,Team1
15,25282,24582,Team1
16,26720,26178,Team1
17,29716,28643,Team1
18,32708,29946,Team1
19,34619,31416,Team1
20,39204,32779,Team1
21,41149,35583,Team1
22,43632,37121,Team1
22,45000,37383,Team1
0,2500,2500,Team2
1,2500,2500,Team2
2,2899,2928,Team2
3,4440,4614,Team2
4,6385,5870,Team2
5,7850,7996,Team2
6,9387,9423,Team2
7,10833,11092,Team2
8,12440,12809,Team2
9,14137,14479,Team2
10,15370,16106,Team2
11,17183,18088,Team2
12,18731,20075,Team2
13,20212,22313,Team2
14,24116,23850,Team2
15,26659,28493,Team2
16,27982,31648,Team2
17,30295,33521,Team2
18,32740,35884,Team2
19,34257,38166,Team2
20,35876,39260,Team2
21,38402,42915,Team2
22,42459,44145,Team2
23,44091,45835,Team2
24,45063,47731,Team2
25,46202,50430,Team2
26,47378,52921,Team2
27,49585,54484,Team2
28,51134,56110,Team2
28,52467,58802,Team2
0,2500,2500,Team1
1,2500,2500,Team1
2,2951,2820,Team1
3,4613,4392,Team1
4,5798,6327,Team1
